pair	spouse	age
c001	w	43
c001	h	49
c002	w	28
c002	h	25
c003	w	30
c003	h	40
c004	w	57
c004	h	52
c005	w	52
c005	h	58
c006	w	27
c006	h	32
c007	w	52
c007	h	43
c009	w	43
c009	h	47
c010	w	23
c010	h	31
c011	w	25
c011	h	26
c012	w	39
c012	h	40
c013	w	32
c013	h	35
c015	w	35
c015	h	35
c016	w	33
c016	h	35
c017	w	43
c017	h	47
c018	w	35
c018	h	38
c019	w	32
c019	h	33
c020	w	30
c020	h	32
c021	w	40
c021	h	38
c023	w	29
c023	h	29
c024	w	55
c024	h	59
c025	w	25
c025	h	26
c026	w	45
c026	h	50
c027	w	44
c027	h	49
c028	w	40
c028	h	42
c029	w	31
c029	h	33
c031	w	25
c031	h	27
c032	w	51
c032	h	57
c033	w	31
c033	h	34
c034	w	25
c034	h	28
c036	w	35
c036	h	37
c037	w	55
c037	h	56
c038	w	23
c038	h	27
c039	w	35
c039	h	36
c040	w	28
c040	h	31
c041	w	52
c041	h	57
c042	w	53
c042	h	55
c043	w	43
c043	h	47
c044	w	61
c044	h	64
c046	w	23
c046	h	31
c047	w	35
c047	h	35
c048	w	35
c048	h	36
c049	w	39
c049	h	40
c050	w	24
c050	h	30
c052	w	29
c052	h	32
c054	w	21
c054	h	20
c055	w	39
c055	h	45
c056	w	52
c056	h	59
c057	w	52
c057	h	43
c058	w	26
c058	h	29
c061	w	48
c061	h	47
c063	w	53
c063	h	54
c064	w	42
c064	h	43
c065	w	50
c065	h	54
c066	w	64
c066	h	61
c067	w	26
c067	h	27
c069	w	32
c069	h	27
c070	w	31
c070	h	32
c071	w	53
c071	h	54
c072	w	39
c072	h	37
c073	w	45
c073	h	55
c074	w	33
c074	h	36
c075	w	32
c075	h	32
c076	w	55
c076	h	57
c080	w	52
c080	h	51
c081	w	50
c081	h	50
c082	w	32
c082	h	32
c083	w	54
c083	h	54
c084	w	32
c084	h	34
c085	w	41
c085	h	45
c086	w	61
c086	h	64
c087	w	43
c087	h	55
c088	w	28
c088	h	27
c089	w	51
c089	h	55
c091	w	41
c091	h	41
c092	w	41
c092	h	44
c093	w	21
c093	h	22
c094	w	28
c094	h	30
c095	w	47
c095	h	53
c096	w	37
c096	h	42
c097	w	28
c097	h	31
c098	w	35
c098	h	36
c099	w	55
c099	h	56
c100	w	45
c100	h	46
c101	w	34
c101	h	34
c102	w	51
c102	h	55
c103	w	39
c103	h	44
c104	w	35
c104	h	45
c105	w	45
c105	h	48
c106	w	44
c106	h	44
c107	w	47
c107	h	59
c108	w	57
c108	h	64
c109	w	33
c109	h	34
c110	w	38
c110	h	37
c111	w	59
c111	h	54
c112	w	46
c112	h	49
c113	w	60
c113	h	63
c114	w	47
c114	h	48
c115	w	55
c115	h	64
c116	w	45
c116	h	33
c117	w	47
c117	h	52
c118	w	24
c118	h	27
c119	w	32
c119	h	33
c120	w	47
c120	h	46
c121	w	57
c121	h	54
c125	w	46
c125	h	54
c126	w	42
c126	h	49
c127	w	63
c127	h	62
c128	w	32
c128	h	34
c129	w	24
c129	h	23
c130	w	32
c130	h	36
c133	w	56
c133	h	59
c134	w	50
c134	h	53
c135	w	55
c135	h	55
c136	w	58
c136	h	62
c137	w	38
c137	h	42
c138	w	44
c138	h	50
c139	w	35
c139	h	37
c140	w	44
c140	h	51
c141	w	25
c141	h	25
c142	w	43
c142	h	54
c143	w	31
c143	h	34
c144	w	35
c144	h	43
c145	w	41
c145	h	43
c146	w	50
c146	h	58
c147	w	23
c147	h	28
c148	w	43
c148	h	45
c149	w	49
c149	h	47
c150	w	59
c150	h	57
c152	w	38
c152	h	34
c153	w	42
c153	h	57
c154	w	21
c154	h	27
c157	w	42
c157	h	48
c158	w	35
c158	h	37
c159	w	26
c159	h	25
c160	w	57
c160	h	57
c161	w	34
c161	h	40
c162	w	63
c162	h	61
c163	w	23
c163	h	25
c167	w	23
c167	h	24
c168	w	46
c168	h	47
c169	w	40
c169	h	44
c170	w	53
c170	h	52
c171	w	40
c171	h	45
c172	w	22
c172	h	20
c173	w	60
c173	h	60
c174	w	32
c174	h	36
c175	w	24
c175	h	25
c176	w	28
c176	h	25
c177	w	40
c177	h	35
c179	w	48
c179	h	49
c180	w	33
c180	h	33
c181	w	49
c181	h	50
c182	w	64
c182	h	63
c183	w	55
c183	h	57
c184	w	41
c184	h	41
c185	w	38
c185	h	38
c186	w	31
c186	h	30
c187	w	52
c187	h	52
c188	w	43
c188	h	51
c189	w	51
c189	h	46
c190	w	47
c190	h	50
c192	w	32
c192	h	52
c193	w	33
c193	h	30
c195	w	18
c195	h	20
c197	w	45
c197	h	51
c198	w	64
c198	h	64
c199	w	43
c199	h	44
c200	w	39
c200	h	40
c201	w	56
c201	h	59
