"rc","entry","clue"
1,724365,"Always open"
1,18,"Age when Alice had a baby's brain and an old man's heart"
1,9,"Musical based on film, 8 1/2"
2,852193467,""
3,291345678,""
4,378,""
4,19,"Adele's first"
4,2564,"Three Chicago numbers"
5,412367895,""
6,1982,"When 1999 was released"
6,34567,""
7,312457896,""
8,134789,""
8,256,"Number of 8 bit numbers"
9,547921683,""
10,78,"Faster than 45"
10,21,"Adele's second"
10,496,"Third perfect number"
10,35,"First twin primes"
11,25,"Adele's third"
11,986,"Not fevered"
11,17,"Youngest R viewer"
11,34,"Miracle street"
12,42,"Answer to the Ultimate Question of Life, the Universe, and Everything"
12,83561,""
12,97,"Largest 2 digit prime"
13,317,"Rational approximation to pi"
13,245689,""
14,693145782,""
15,512346789,""
16,234567891,""
17,86,"99's spouse"
17,21,"Game where an ace is 1 or 11"
17,934, "Fictional platform at King's Crossing Station"
17,57, "Heinz varieties"
18,97845,""
18,1623,"Slower than 33 1/3"
